Eye,Face,Lips,Nails,Tongue,Vitamin Deficiency,Recommendation
,,,,,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
,,,,Magenta Coloured Tongue,"Vitamin B12 Deficiency, Vitamin B9 Deficiency","Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels. Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
,,,,Not Visible / Normal,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
,,,,Swollen Red,"Vitamin B1 Deficiency, Vitamin E Deficiency, Vitamin B7 Deficiency","Eat whole grains, pork, and legumes to enhance Vitamin B1 levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels."
,,,,White Tongue,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
,,,beau's line,,"Vitamin B5 Deficiency, Vitamin B1 Deficiency","Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels. Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
,,,beau's line,Magenta Coloured Tongue,Vitamin B3 Deficiency,"Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels."
,,,beau's line,Not Visible / Normal,"Vitamin B3 Deficiency, Vitamin A Deficiency, Vitamin A Deficiency","Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels. Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels. Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
,,,beau's line,Swollen Red,"Vitamin B7 Deficiency, Vitamin C Deficiency","Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels."
,,,beau's line,White Tongue,Vitamin B5 Deficiency,"Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels."
,,,black line,,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
,,,black line,Magenta Coloured Tongue,"Vitamin E Deficiency, Vitamin K Deficiency","Eat nuts, seeds, and spinach to enhance Vitamin E levels. Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels."
,,,black line,Not Visible / Normal,"Vitamin E Deficiency, Vitamin B9 Deficiency, Vitamin B5 Deficiency","Eat nuts, seeds, and spinach to enhance Vitamin E levels. Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels. Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels."
,,,black line,Swollen Red,"Vitamin B7 Deficiency, Vitamin K Deficiency, Vitamin B9 Deficiency","Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
,,,black line,White Tongue,Vitamin E Deficiency,"Eat nuts, seeds, and spinach to enhance Vitamin E levels."
,,,clubbing,,"Vitamin B2 Deficiency, Vitamin B2 Deficiency, Vitamin B2 Deficiency","Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels. Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels. Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels."
,,,clubbing,Magenta Coloured Tongue,"Vitamin B9 Deficiency, Vitamin K Deficiency","Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels. Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels."
,,,clubbing,Not Visible / Normal,"Vitamin C Deficiency, Vitamin B3 Deficiency","Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels. Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels."
,,,clubbing,Swollen Red,"Vitamin E Deficiency, Vitamin A Deficiency","Eat nuts, seeds, and spinach to enhance Vitamin E levels. Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
,,,clubbing,White Tongue,"Vitamin B6 Deficiency, Vitamin A Deficiency","Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels. Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
,,,muehrck-e's lines,,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
,,,muehrck-e's lines,Magenta Coloured Tongue,Vitamin B6 Deficiency,"Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels."
,,,muehrck-e's lines,Not Visible / Normal,Vitamin B1 Deficiency,"Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
,,,muehrck-e's lines,Swollen Red,"Vitamin B5 Deficiency, Vitamin B6 Deficiency, Vitamin E Deficiency","Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels. Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels."
,,,muehrck-e's lines,White Tongue,Vitamin K Deficiency,"Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels."
,,,onycholysis,,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
,,,onycholysis,Magenta Coloured Tongue,"Vitamin A Deficiency, Vitamin C Deficiency","Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels. Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels."
,,,onycholysis,Not Visible / Normal,Vitamin B9 Deficiency,"Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
,,,onycholysis,Swollen Red,"Vitamin B9 Deficiency, Vitamin D Deficiency","Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels. Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels."
,,,onycholysis,White Tongue,"Vitamin B7 Deficiency, Vitamin B12 Deficiency, Vitamin B6 Deficiency","Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels. Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels."
,,,terry's nail,,"Vitamin C Deficiency, Vitamin K Deficiency, Vitamin E Deficiency","Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels. Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels."
,,,terry's nail,Magenta Coloured Tongue,"Vitamin B5 Deficiency, Vitamin B7 Deficiency","Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels."
,,,terry's nail,Not Visible / Normal,"Vitamin B12 Deficiency, Vitamin E Deficiency","Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels."
,,,terry's nail,Swollen Red,Vitamin K Deficiency,"Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels."
,,,terry's nail,White Tongue,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
,,,white spot,,"Vitamin B12 Deficiency, Vitamin K Deficiency","Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels. Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels."
,,,white spot,Magenta Coloured Tongue,Vitamin B1 Deficiency,"Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
,,,white spot,Not Visible / Normal,Vitamin B6 Deficiency,"Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels."
,,,white spot,Swollen Red,"Vitamin B5 Deficiency, Vitamin C Deficiency","Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels. Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels."
,,,white spot,White Tongue,"Vitamin A Deficiency, Vitamin K Deficiency","Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels. Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels."
,,Angular cheilitis,,,"Vitamin B12 Deficiency, Vitamin E Deficiency, Vitamin B6 Deficiency","Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels. Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels."
,,Angular cheilitis,,Magenta Coloured Tongue,"Vitamin A Deficiency, Vitamin C Deficiency","Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels. Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels."
,,Angular cheilitis,,Not Visible / Normal,Vitamin B7 Deficiency,"Consume eggs, nuts, seeds, and sweet potatoes to improve Vitamin B7 levels."
,,Angular cheilitis,,Swollen Red,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
,,Angular cheilitis,,White Tongue,"Vitamin K Deficiency, Vitamin B2 Deficiency","Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels."
